Vault Name,Block Number,Vault Asset,price per share,Total assets in vaultTotal Supply of Shares
USDC yVault,14999121,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1015660,100616660200195,99065280476942
DAI yVault,14999121,0x6B175474E89094C44Da98b954EedeAC495271d0F,1029092383239172304,112206004479860496064588586,109033947104613440440198238
WETH yVault,14999121,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1013245357400240940,70762019000764248511474,69837002937100673813795
Curve stETH Pool yVault,14999121,0x06325440D014e39736583c165C2963BA99fAf14E,1085416650032471982,73806339948684781343369,67998164526476303960723
Curve Iron Bank Pool yVault,14999121,0x5282a4eF67D9C33135340fB3289cc1711c13638C,1119217520920678230,45048991189065277188158527,40250434206933768025413694
Curve DOLA Pool yVault,14999121,0xAA5A67c256e27A5d80712c51971408db3370927D,1015353770293420470,846385102075028560468634,833586407849194517484265
Curve USDN Pool yVault,14999121,0x4f3E8F405CF5aFC05D68142F3783bDfE13811522,1148689471878446582,8915653186079862620551865,7761586925228918641682735
WBTC yVault,14999121,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,102100103,32083762436,31423829627
Curve stETH-WETH Pool yVault,14999121,0x828b154032950C8ff7CF8085D841723Db2696056,1001145186478962350,6084010099180705129423,6077050742838038900202
Curve LUSD Pool yVault,14999121,0xEd279fDD11cA84bEef15AF5D39BB4d4bEE23F0cA,1092354677588973964,3385371861369002283115139,3099150789413137796436597
YFI yVault,14999121,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,1011068461099349764,577539560450338540692,571217066569726834536
Curve 3Crypto Pool yVault,14999121,0xc4AD29ba4B3c580e6D59105FFf484999997675Ff,1096348670623091745,4018013623860993131285,3662790592916206882782
Curve USDP Pool yVault,14999121,0x7Eb40E450b9655f4B3cC4259BCC731c63ff55ae6,1111166648402484748,1920100120128237395854128,1728003736333114136844414
Curve FRAX Pool yVault,14999121,0xd632f22692FaC7611d2AA1C0D552930D43CAEd3B,1110168381911072998,1795736621700647611775914,1617535367571376376979741
Curve alUSD Pool yVault,14999121,0x43b4FdFD4Ff969587185cDB6f0BD875c5Fc83f8c,1091236206757912449,1579787269314955576790644,1447704227124702385489531
LUSD yVault,14999121,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1049365636573143059,1013427251183379467470599,965752275339293894330809
SNX yVault,14999121,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,1094643079180346993,611458616583033647247788,558591771338731773666378
Curve HBTC Pool yVault,14999121,0xb19059ebb43466C323583928285a49f558E572Fd,1049171372261728676,49516925268579756932,47196222254744434784
AAVE yVault,14999121,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,1035761113952396326,13433026440010883445740,12969232247724900147138
Curve MIM Pool yVault,14999121,0x5a6A4D54456819380173272A5E8E9B9904BdF41B,1107926543893247607,613918469675101812674330,554114776885655057252751
Curve BUSD Pool yVault,14999121,0x4807862AA8b2bF68830e4C8dc86D0e9A998e085a,1063040954117269709,851949337127166996665712,801426637259342999285264
Curve sETH Pool yVault,14999121,0xA3D87FffcE63B53E0d54fAa1cc983B7eB0b74A9c,1933683125459792638,897549712611397078284,464165871229794709822
Curve sBTC Pool yVault,14999121,0x075b1bb99792c9E1041bA13afEf80C91a1e70fB3,1021625897404512621,51139814414322436800,50057280795490283964
Curve RAI Pool yVault,14999121,0x6BA5b4e438FA0aAf7C1bD179285aF65d13bD3D90,1015091635264717823,792341792584215738220343,780561838023211675041606
Curve sUSD Pool yVault,14999121,0xC25a3A3b969415c80451098fa907EC722572917F,1093417364428904538,775755413833984168502591,709477861858507941086695
Curve rETH Pool yVault,14999121,0x53a901d48795C58f485cBB38df08FA96a24669D5,1048117699326753236,531606759023134677573,507201394809577564613
Curve 3EUR Pool yVault,14999121,0xb9446c4Ef5EBE66268dA6700D26f96273DE3d571,1054766698124244188,626377436292337507980833,593854012841192866372286
Curve mUSD Pool yVault,14999121,0x1AEf73d49Dedc4b1778d0706583995958Dc862e6,1082719137696735878,559698930923531506097404,516938245050490950992793
Curve GUSD Pool yVault,14999121,0xD2967f45c4f384DEEa880F807Be904762a3DeA07,1076360933227094999,552165837291332452849799,512993197956241935306690
Curve CRV-ETH Pool yVault,14999121,0xEd4064f376cB8d68F770FB1Ff088a3d0F3FF5c4d,1067324731599814052,9834822563626214898620,9214461421581405717256
Curve sAave Pool yVault,14999121,0x02d341CcB60fAaf662bC0554d13778015d1b285C,1062183756025662299,431353674451119618658005,406100801301181015412573
UNI yVault,14999121,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,1006820720124883040,80703173058026712791109,80156448357575052531623
SUSHI yVault,14999121,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,1088908590153004988,296226331181909413854268,272039667847864059450124
Curve CVX-ETH Pool yVault,14999121,0x3A283D9c08E8b55966afb64C515f5143cf907611,1055122747965066898,1745490792193066999897,1654301165963352797388
Curve YFI-ETH Pool yVault,14999121,0x29059568bB40344487d62f7450E78b8E6C74e0e5,1018291464663362343,43400465529921349723,42620867439234736852
Curve EURT-USD Pool yVault,14999121,0x3b6831c0077a1e44ED0a21841C3bC4dC11bCE833,1016799230662305706,55865403973386330077278,54942413692620180230235
Curve ankrETH Pool yVault,14999121,0xaA17A236F2bAdc98DDc0Cf999AbB47D47Fc0A6Cf,1038518801690273855,83902734349271917036,80790770675228401842
Curve cvxCRV Pool yVault,14999121,0x9D0464996170c6B9e75eED71c68B99dDEDf279e8,1159058164219435504,157189796779671368739608,135618557922440760332491
Curve d3pool Pool yVault,14999121,0xBaaa1F5DbA42C3389bDbc2c9D2dE134F5cD0Dc89,1020109981283169035,59962883572388096927089,58780802729684490482772
Curve tBTC Pool yVault,14999121,0x64eda51d3Ad40D56b9dFc5554E06F94e1Dd786Fd,1060035904606302572,4227487281389215615,3988060463819199368
Curve EURS-USDC Pool yVault,14999121,0x3D229E1B4faab62F621eF2F6A610961f7BD7b23B,1023476820364618579,17842574750275943018781,17433296382735311245308
TUSD yVault,14999121,0x0000000000085d4780B73119b644AE5ecd22b376,1055297594827238398,14425823062373758745702,13669909922172611673482
